Run,Event,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M;;;
147115,366639895,58.7141,-7.31132,10.531,-57.2974,12.8202,-2.20267,2.17766,1,11.2836,-1.03234,-1.88066,-11.0778,2.14537,-2.34403,-2.07281,-1,8.94841;;;
147115,366704169,6.61188,-4.15213,-0.579855,-5.11278,4.19242,-1.02842,-3.00284,-1,17.1492,-11.7135,5.04474,11.4647,12.7536,0.808077,2.73492,1,15.893;;;
147115,367112316,25.5419,-11.4809,2.04168,22.7246,11.661,1.42048,2.9656,1,15.8203,-1.4728,2.25895,-15.5888,2.69667,-2.45508,2.14857,1,38.3877;;;
147115,366952149,65.3959,7.51214,11.8871,63.8662,14.0619,2.21838,1.00721,1,25.1273,4.08786,2.59641,24.6563,4.84272,2.33021,0.565865,-1,3.72862;;;
147115,366523212,61.4504,2.95284,-14.6227,-59.6121,14.9179,-2.09375,-1.37154,-1,13.8871,-0.277757,-2.4256,-13.6708,2.44145,-2.4237,-1.68481,-1,2.74718;;;
147115,366663412,6.39616,-5.45672,-2.09068,-2.60078,5.84352,-0.431551,-2.77571,-1,21.3865,15.1698,-8.8703,-12.1893,17.5728,-0.64745,-0.52912,-1,18.4023;;;
147115,366639101,84.5058,8.82436,10.5789,83.3753,13.7761,2.50032,0.875576,1,12.6784,-1.13446,-3.20939,-12.2128,3.404,-1.98956,-1.91057,-1,65.3239;;;
147115,367133576,77.0057,10.0029,9.17545,-75.8,13.5737,-2.42103,0.742282,1,9.11623,-1.72295,-1.48674,-8.82761,2.27574,-2.06494,-2.42965,1,11.2912;;;
147115,368639137,9.68787,1.11192,2.05064,-9.40284,2.3327,-2.10218,1.07394,1,63.4597,-1.85844,12.7946,-62.1287,12.9289,-2.27355,1.71504,1,3.58678;;;
